delta,theta,alpha,beta,rms,label
2.404781639561102e-10,2.0975449976903048e-11,4.426469546711855e-12,1.14368119798492e-11,2.568348492804076e-05,5
1.8843963860125001e-10,2.2505266465442016e-11,5.366842289408929e-12,1.462308163072044e-11,1.9504963964456575e-05,5
8.670853189394707e-11,8.759262278523342e-12,3.4129187643893165e-12,7.22163926620493e-12,1.5023098922138964e-05,5
1.4274487507505782e-10,2.39534650738779e-11,5.74117146633601e-12,1.6186080927560098e-11,1.7931019431172215e-05,5
8.869300082997052e-11,1.596272062930571e-11,5.56189045717475e-12,1.2211740041263344e-11,1.5364526015169967e-05,5
1.5027331201602147e-10,1.8756988548417587e-11,5.149513501394735e-12,1.4896748470069644e-11,1.6822558626888467e-05,5
2.7753499521641153e-10,2.194120082347383e-11,6.255739878149119e-12,1.3488187987152388e-11,2.3372587083270696e-05,5
1.8750666957852564e-10,1.854286891972077e-11,4.601467064647133e-12,8.94356456141134e-12,1.9984091068265346e-05,5
1.1631305280526144e-10,1.8518370505146134e-11,3.651710220776193e-12,9.096119553767827e-12,1.603654062149849e-05,5
2.045194329555864e-10,1.3654786298277997e-11,4.704431478567756e-12,1.0187777947194744e-11,1.841811219069901e-05,5
1.3932614614754988e-10,2.0640390250822276e-11,5.219106228244612e-12,1.1870664236353682e-11,1.9669409262621813e-05,5
1.8329271436653133e-10,1.8402206982068873e-11,5.115967815024455e-12,1.4908395800206616e-11,1.8661164737201138e-05,5
1.1819229967524992e-10,1.611697190895105e-11,5.0926740880634375e-12,1.552846663655421e-11,1.637321407487723e-05,5
1.5841802131867657e-10,1.693389797484662e-11,4.024618634189407e-12,1.3669185202563813e-11,2.1617416131768858e-05,5
1.3033177671174212e-10,1.9551709311486118e-11,5.2599684239723995e-12,1.7268068167674032e-11,1.569387560948184e-05,5
5.1083779804829323e-11,3.2392702755988214e-11,4.58760726030184e-12,1.3865043215473713e-11,1.1233477468146533e-05,5
3.5218148753854224e-11,1.7838762839612642e-11,3.913834464273533e-12,9.31528844591002e-12,9.105830583455666e-06,5
1.6144540594027717e-10,1.76976264374313e-11,4.965035266058339e-12,1.0911654398940336e-11,1.9441496498589115e-05,5
1.4091718351790202e-10,1.7773365899730473e-11,5.24541085751329e-12,1.1138481863976206e-11,1.69258641543492e-05,5
1.5202817979427504e-10,2.0559896614931844e-11,4.3878615079246176e-12,9.481385814816447e-12,1.768056141761287e-05,5
6.133745773520036e-11,1.3075452421501258e-11,3.614094285145435e-12,9.692165301560669e-12,1.3757855366652014e-05,5
1.8789174585617766e-10,1.8894173920271144e-11,4.4603281886191374e-12,1.097672926091398e-11,2.0004676501189682e-05,5
1.855480132983871e-10,1.511604854099016e-11,3.2256068495637303e-12,9.982868504297459e-12,1.795583183642804e-05,5
2.3069948359976902e-10,2.3702738115367956e-11,6.007667008135557e-12,1.825300481075215e-11,2.0274890375924397e-05,5
3.299188731915841e-10,3.117508294413177e-11,6.729238655538756e-12,1.5900897245673895e-11,2.6066459097700544e-05,5
2.272817457287692e-10,1.844521559773058e-11,4.481694055759377e-12,8.356775420320884e-12,2.0419549357428043e-05,5
4.860282593035516e-10,5.2928652486660814e-11,8.871684307558029e-12,1.1768674059303377e-11,3.064199080224324e-05,5
2.4544714391739875e-10,2.333549855221866e-11,5.034955520820353e-12,1.1077416638783107e-11,2.1651874372349437e-05,5
5.350659234457737e-10,4.138490813197766e-11,9.623948273038842e-12,2.199654648945585e-11,3.2839781060826166e-05,5
1.6019197713041352e-10,1.1892410945937342e-11,4.389634313279717e-12,8.271197394606213e-12,2.0341480130735443e-05,5
2.2192044685218396e-10,1.9510380463674918e-11,4.177205331992562e-12,9.378870455093224e-12,2.194661420685622e-05,5
1.0364937151843279e-10,1.223524135936776e-11,3.001398982179968e-12,6.9891978465857035e-12,1.4937146072456413e-05,5
1.7592087451310846e-10,1.849998125579798e-11,5.467864249755928e-12,8.657155236394057e-12,1.882668314835163e-05,5
8.114284805934168e-11,1.560457449302379e-11,3.628553132558341e-12,7.96925795977933e-12,1.2684978457750121e-05,5
1.2202152458554953e-10,1.7832778742942454e-11,5.612895456619916e-12,1.0464835427889236e-11,1.7933738005359484e-05,5
2.349237898078096e-10,2.1518352287097064e-11,5.408182673391728e-12,1.0982978169674416e-11,2.2228885915004325e-05,5
1.6484284769301473e-10,1.7495147784331388e-11,4.814511584216501e-12,1.475908767986908e-11,2.046482036502955e-05,5
7.075052139604761e-11,1.3452845502995947e-11,4.346805610353018e-12,1.2622786904292507e-11,1.3944892268551207e-05,5
1.369674698498847e-10,1.6049242323006718e-11,4.32198360459493e-12,1.1703150731241677e-11,1.659780180908167e-05,5
1.0587649991037531e-10,1.2446565220400367e-11,4.267637450227651e-12,1.2729827827506093e-11,1.476380840415303e-05,5
1.9657084481463111e-10,1.521088846272011e-11,5.0405097474373e-12,9.59328166704917e-12,1.9000750345915617e-05,5
2.208897956874083e-10,2.194749746707107e-11,4.4040434292377976e-12,1.208733601498579e-11,1.997900730131868e-05,5
2.503222098178226e-10,1.7947826946547517e-11,4.431623856051864e-12,9.833896886515095e-12,2.434682301478847e-05,5
3.155687014202471e-10,3.589241633219746e-11,7.046041863741871e-12,1.500236041023944e-11,2.3267485647685396e-05,5
5.103836150014013e-10,4.315399046199654e-11,8.321365376497038e-12,1.8134419096382605e-11,3.514343338857496e-05,5
3.5047536639642847e-10,3.156659872219003e-11,8.235380772756378e-12,1.8606717209707297e-11,2.673301560734361e-05,5
3.076053676818709e-10,2.8494932144247378e-11,7.45693574695342e-12,2.9928518564414016e-11,2.925937081665283e-05,5
5.131724598553023e-10,4.334419072582427e-11,8.010796565584757e-12,1.6468496263179125e-11,3.596207037293847e-05,5
5.326647623074507e-10,5.969566919184244e-11,1.1174705344260658e-11,2.0455733647718898e-11,3.142291753823663e-05,5
6.368295022933599e-10,6.332797743153104e-11,1.556841536032188e-11,2.917189495387052e-11,3.447517873203655e-05,5
6.153853274815983e-10,6.239790034792814e-11,1.3786205587110657e-11,2.500162679750876e-11,3.8887901495360026e-05,5
6.95243771363729e-10,7.867294531386067e-11,1.5004838440103695e-11,3.035946101650335e-11,3.524098220801838e-05,5
6.144343838459647e-10,7.62817718506414e-11,1.38853484089668e-11,3.1458736394340154e-11,3.272894549352255e-05,5
4.880122004993771e-10,4.710708514579816e-11,7.516739282253803e-12,1.9452155472384066e-11,3.05879088131101e-05,5
4.44562261535285e-10,5.132871705462346e-11,7.001307629276903e-12,1.47900086891886e-11,2.687120982544044e-05,5
3.703948483074433e-10,4.0113533716703225e-11,8.602845298587207e-12,1.7737249996591916e-11,2.6371125397086505e-05,5
3.6007617225594953e-10,3.9019723164324056e-11,6.873474281815368e-12,1.4781426064003464e-11,2.7171893506061136e-05,5
3.7284870368426856e-10,4.28747072473196e-11,7.457851352797453e-12,1.3833946580938086e-11,2.5410660184478597e-05,5
5.410343558926055e-10,4.096890951112022e-11,7.817572908400607e-12,1.4106992156828957e-11,3.0355481746768067e-05,5
3.192679989803564e-10,5.5550325237051047e-11,6.055564116600612e-12,9.802174889795822e-12,2.3077590953137742e-05,5
4.305111888596112e-10,4.2037506240785425e-11,6.3798567953941546e-12,1.4460123274323177e-11,2.8255514523577057e-05,5
4.868433023187138e-10,4.181387443502908e-11,7.88780597485564e-12,1.7717922466793145e-11,2.94698736466358e-05,5
3.2317212799591163e-10,2.5589055365932582e-11,5.354139891608037e-12,1.0516577726960133e-11,2.686567935545484e-05,5
3.5979316077247716e-10,2.8069790308585464e-11,7.342933812674344e-12,2.4859157144383513e-11,2.6074846036112032e-05,5
8.827586440266736e-10,4.187965781885475e-11,9.961423109887028e-12,3.0498527637248474e-11,3.811704291997773e-05,5
5.995308276923108e-10,5.448807398760659e-11,8.62602655831202e-12,1.79826889082185e-11,3.604556084399778e-05,5
1.9185094248313415e-10,2.408358158609921e-11,5.530869104622954e-12,9.290612531126925e-12,1.7859344300015323e-05,5
2.7805975884454716e-10,3.110453183668734e-11,5.734802596356338e-12,1.193135264914477e-11,2.030651098384323e-05,5
1.2156796571501072e-10,1.929356101704186e-11,3.6056950556151967e-12,9.647614665276152e-12,1.4734637285798727e-05,5
7.42698935342854e-10,4.9573400858085186e-11,1.0067010546795897e-11,1.523720068133693e-11,3.560713613599482e-05,5
4.842555983787404e-10,3.813626764661091e-11,1.0538978916083566e-11,1.6949858237767415e-11,3.750666055591327e-05,5
6.869506142256091e-10,6.053776958813357e-11,1.2097031131376432e-11,1.839718597469296e-11,4.284242193651144e-05,5
3.1677139769265187e-10,2.18206810863715e-11,7.016258979954178e-12,1.758584699833789e-11,3.127513604789777e-05,5
4.2346537202186996e-10,4.135033201383665e-11,1.0572781770517799e-11,1.3417205438823116e-11,2.7361594151913038e-05,5
1.6314127011437575e-10,2.8080900141218256e-11,5.781189244184363e-12,1.476113456525251e-11,1.8798212927437975e-05,5
2.5676249606232335e-10,2.499092670667647e-11,5.83039682216335e-12,1.4959301755674464e-11,2.3822632291937527e-05,5
2.858408004315301e-10,2.446479270473683e-11,5.0577811995118126e-12,1.1478961077126246e-11,2.1657372073863337e-05,5
3.774547889718801e-10,3.5702364940981e-11,5.596685740440197e-12,9.598783393564635e-12,2.3191574669992554e-05,5
1.2305920888178686e-10,1.7303294374452316e-11,5.490888033588799e-12,1.1566063673240343e-11,1.6405968334398295e-05,5
1.206772662051949e-10,1.7535253012328372e-11,3.912372745978604e-12,1.0356662964606507e-11,1.4964499037834264e-05,5
2.5002186844889696e-10,3.0886822589552267e-11,4.318759965322333e-12,9.086189739166918e-12,2.0758914995640663e-05,5
2.2349540079350783e-10,2.3938268473087697e-11,5.12960709936727e-12,1.2677229951437038e-11,2.129593651815371e-05,5
1.810133464308979e-10,2.6323884710385585e-11,4.856310136687291e-12,1.37545417613782e-11,1.8397999239707308e-05,5
2.1755885800271436e-10,2.9663935266041545e-11,6.595579213028036e-12,1.042833197476098e-11,1.9748646706188897e-05,5
2.458682909010247e-10,2.336860367619197e-11,5.550919420513657e-12,9.790261465164177e-12,1.9582825260871572e-05,5
2.620320167346191e-10,3.5053322757375315e-11,6.426167217974546e-12,1.361161264869856e-11,2.3215601796468016e-05,5
5.368436125665386e-10,4.015300659098939e-11,7.816066793434148e-12,1.622283810807616e-11,3.0468854602351244e-05,5
3.6416595572767515e-10,4.005996884081253e-11,5.5423214943656764e-12,1.2868437290280445e-11,2.314246812317898e-05,5
4.672778933966955e-10,4.635515524928431e-11,5.990363203017342e-12,1.2549119084348538e-11,2.712530192540663e-05,5
2.4883497323120825e-10,2.5669974549500247e-11,5.793571894240499e-12,1.2515514998376136e-11,1.994368924555018e-05,5
2.2764926239191855e-10,2.8007865941036105e-11,5.186630007280894e-12,1.2991780002686675e-11,1.9268037546074898e-05,5
1.557538505661092e-10,2.2002070628997596e-11,5.344757253929687e-12,1.2670343798775769e-11,1.7486554206497085e-05,5
2.401364153249145e-10,3.338011079504328e-11,4.283881018488599e-12,8.149627780750967e-12,1.8686801372422292e-05,5
1.9900877310489958e-10,1.6500964574743338e-11,3.831330882697982e-12,9.008024071497705e-12,1.9478349768032122e-05,5
3.3145385195487627e-10,3.203683648488045e-11,6.022973435828633e-12,1.06421411939849e-11,2.4307219504200518e-05,5
2.0594293093015192e-10,3.355456520077778e-11,5.763315417940007e-12,1.0379392291723779e-11,1.8370084120160282e-05,5
2.0278452246565268e-10,2.8229131387500614e-11,5.9263184418731484e-12,1.2036770272418326e-11,1.8499457327800585e-05,5
1.5321400925432853e-10,1.848534819438311e-11,6.308159997466176e-12,1.2634888751739557e-11,1.7564220946138182e-05,5
2.3974302891286795e-10,2.970139481987376e-11,5.747512203069184e-12,1.4425462968147214e-11,2.105927575394892e-05,5
1.9000653540059705e-10,1.9750714576033158e-11,4.346013047467805e-12,1.1709445341325346e-11,1.7244631377006347e-05,5
3.209907246694758e-10,3.335323121635277e-11,5.4987344183888535e-12,1.3389332136709278e-11,2.3974364821121956e-05,5
2.51528496375651e-10,2.7622978826544427e-11,5.6552052015211296e-12,1.2902736849737556e-11,2.3051518342487266e-05,5
1.8223814986683407e-10,2.1389851232608757e-11,4.770102237103959e-12,1.2551261436857124e-11,1.9845467574566665e-05,5
2.553069655468525e-10,2.465095348239329e-11,5.3168367205966384e-12,1.2290575486296465e-11,2.372808420651045e-05,5
2.4660116386319496e-10,3.045457563375735e-11,7.291974837853787e-12,1.608625553941571e-11,2.2221461472002097e-05,5
2.8860942937752146e-10,2.756834786790125e-11,6.1624302233258294e-12,1.3415463522262707e-11,2.3936251470105992e-05,5
1.9693070996706458e-10,2.4843489567265726e-11,6.136360245470469e-12,1.1385534775561658e-11,1.917995543458814e-05,5
2.976662030913998e-10,3.101513753020914e-11,6.016431400686268e-12,1.7832600608352527e-11,2.0716266886076206e-05,5
2.1425015164391472e-10,2.0000895609582702e-11,4.9820132757353555e-12,1.5102445035421112e-11,2.4327471155829408e-05,5
2.3711534578810543e-10,2.944786538532592e-11,7.29545123138478e-12,1.5428211634584357e-11,2.2101167020515362e-05,5
5.438618580323526e-10,7.222667913349158e-11,2.396747791871557e-11,5.633498822918605e-11,3.726158032026648e-05,5
2.5998510950993734e-10,4.709558302473577e-11,1.02944276290027e-11,4.094601899509276e-11,2.551297661144967e-05,5
3.252013094559723e-10,3.04020141493962e-11,8.2935868180999e-12,1.5612116756610747e-11,2.7984195180857887e-05,5
4.319798573763293e-10,3.7493969032106946e-11,9.410260369317103e-12,2.308178337992666e-11,3.1676712958348486e-05,5
3.191790460931352e-10,3.1278263191665005e-11,6.344626839643039e-12,1.578376460251592e-11,2.9523062547760284e-05,5
3.7593409145079635e-10,4.584723532580605e-11,9.236443058178432e-12,1.8859372536362666e-11,2.9234998104506622e-05,5
4.980017270693503e-10,7.415659175680867e-11,1.2765066471956624e-11,2.2313375431062094e-11,3.316462625002012e-05,5
5.273338415567337e-10,7.039697793068366e-11,1.2880204912895473e-11,2.443894087886721e-11,3.40204851737574e-05,5
4.0781124197812055e-10,4.153042095089509e-11,7.759372021190198e-12,1.6231736624417108e-11,3.1813581101640584e-05,5
4.784207160909692e-10,5.5229296248338736e-11,9.567323622925745e-12,2.1707519031537884e-11,3.155717275164878e-05,5
3.884365510009933e-10,3.549216614400013e-11,1.0566352467958395e-11,2.777146665367112e-11,2.7098879226776424e-05,5
2.9515185616988004e-10,2.8459866161628308e-11,6.8127976448349256e-12,2.1290865937569623e-11,2.6347262828103604e-05,5
3.2829481941887427e-10,3.229478919924841e-11,8.430303523676913e-12,1.6925368897398632e-11,2.3856901601711658e-05,5
4.11088334583626e-10,4.401572209811337e-11,7.93287508866138e-12,1.609218914062696e-11,2.8698482047054504e-05,5
3.492598651586546e-10,4.385211486725124e-11,8.945541873380072e-12,2.6246618148318588e-11,3.0690061957125444e-05,5
3.5370582120782814e-10,5.4395054525365654e-11,9.211551658245343e-12,2.1462237637798382e-11,2.789814072672489e-05,5
1.2369065303347036e-10,2.842203628455146e-11,5.118259184593527e-12,1.1819213690856529e-11,1.814368880910493e-05,5
2.635195610984986e-10,3.9832943033001404e-11,6.093936371267143e-12,9.76336618860249e-12,2.1960599526082448e-05,5
2.482538201134305e-10,4.2139960873641556e-11,7.297573518141415e-12,1.499092322017534e-11,2.164353239355455e-05,5
1.7782527615381613e-10,2.5949798200920104e-11,5.307037621816728e-12,9.073107283853339e-12,1.8340344107583347e-05,5
1.0197573534963848e-10,2.045158413338495e-11,5.2211903501629494e-12,9.834550999693885e-12,1.70422161978151e-05,5
1.916938232013422e-10,1.8043782745774953e-11,5.763388314640508e-12,1.1246348055034162e-11,1.9221572792631005e-05,5
3.345286390495275e-10,3.2090827572851805e-11,5.760934104719491e-12,1.0941308567272818e-11,2.14330888779017e-05,5
2.3407474366251336e-10,2.9776450020705855e-11,4.7585604750120435e-12,1.0484013909249724e-11,2.0380528725250815e-05,5
3.3956577318931844e-10,3.258461085970698e-11,6.455961674074932e-12,1.5296317731778375e-11,2.631404939661161e-05,5
4.535563857478916e-10,4.6387350359216154e-11,7.100806166833102e-12,1.3567328171451946e-11,2.838222786154458e-05,5
2.769724253357574e-10,2.7766328055641307e-11,8.186311275463866e-12,1.2634178283468308e-11,2.3261406466630583e-05,5
2.0133521589102022e-10,2.955965277535438e-11,6.954199535283364e-12,1.673588312990384e-11,2.1666484721825644e-05,5
2.3246952532093566e-10,2.829190492084673e-11,8.193414212387945e-12,1.8931416871644817e-11,2.304909163170789e-05,5
4.071095351986904e-10,2.7690932755489533e-11,8.145232898964601e-12,2.2850283446002583e-11,3.134607291254056e-05,5
3.0592585951755483e-10,3.1144451337900804e-11,7.902066167930328e-12,1.9485434849810157e-11,2.700201095656489e-05,5
3.573251918089618e-10,3.584994931473299e-11,9.768167013690505e-12,1.8539204573010064e-11,2.724341140999379e-05,5
2.761785497723407e-10,3.6823609648889584e-11,7.2074275400508185e-12,1.6532394321470813e-11,2.492443177838245e-05,5
2.3593583977617696e-10,2.4962616457528468e-11,5.083260633098341e-12,1.1287202210295256e-11,2.161353218281206e-05,5
2.3076008416023823e-10,2.283767040926947e-11,7.831162228234045e-12,1.0166964801284857e-11,2.277983966844896e-05,5
3.8985420179960576e-10,3.5064812820736034e-11,7.847111435930322e-12,1.4518610175628855e-11,2.9329394764071787e-05,5
1.5286351616330729e-10,1.7659162490329443e-11,5.237823499578554e-12,1.0434167509958996e-11,1.9910435581390585e-05,5
3.481305940554515e-10,4.71575819438227e-11,1.1040483162993971e-11,2.0624882226193194e-11,2.801084639240391e-05,5
3.746364878248151e-10,3.5281569818672486e-11,8.438732177898507e-12,1.527178925362352e-11,2.8533558688125855e-05,5
3.8062762010003277e-10,2.823220260871746e-11,6.17765013146002e-12,1.445566662493099e-11,2.8938732783494267e-05,5
4.1319703308580057e-10,3.8083309802148114e-11,6.135826923429594e-12,1.8313063901070757e-11,3.179614829600868e-05,5
2.678601423962906e-10,3.386839877684373e-11,7.265841645347907e-12,1.2213500278513103e-11,2.7695862297635068e-05,5
3.5548898142899177e-10,2.8030712348460667e-11,6.799491490026048e-12,1.7827007780446332e-11,3.0248406901724997e-05,5
5.445734994207229e-10,4.061447043747405e-11,5.412159089442417e-12,1.1875037058139512e-11,4.0530123251532956e-05,5
3.395431420599548e-10,3.3862906821183873e-11,7.361746068030973e-12,2.6655782571832116e-11,2.8587298748071402e-05,5
1.3544770048406751e-10,1.652573081850633e-11,3.891336301825324e-12,9.105174625057455e-12,1.9581885470144088e-05,5
3.2705874536398015e-10,4.395848134670344e-11,8.377807526234678e-12,1.8215431341831857e-11,2.8035946840409566e-05,5
4.003585189887749e-10,2.92923987624856e-11,7.153047258108397e-12,1.420052967029877e-11,3.077351837323385e-05,5
6.480712241892815e-10,4.5553794789024587e-11,7.547266594864696e-12,1.5313619693799644e-11,3.746159228462361e-05,5
4.783377664936182e-10,5.194977505138943e-11,9.694412526127768e-12,2.0013426361503642e-11,2.922472879244423e-05,5
2.6255200049572847e-10,2.3250265525797823e-11,5.057840172029388e-12,1.326616176342243e-11,2.539384373504238e-05,5
3.5846191722732005e-10,4.065322840263998e-11,8.454958873884874e-12,2.4309993781854993e-11,2.975169957129943e-05,5
1.5437730411502017e-10,2.0384462401360052e-11,3.825167073114899e-12,8.609689980483498e-12,1.692284797319878e-05,5
1.711676867870617e-10,1.9456183917069083e-11,4.767103398041795e-12,1.0417879268362125e-11,1.7693417859879027e-05,5
2.155734744004572e-10,2.2029554775326497e-11,5.1097186746415834e-12,1.2038575396490253e-11,2.225293366518332e-05,5
1.7586059162261247e-10,2.1621014768679972e-11,4.236823799029385e-12,9.264498067233718e-12,1.9865611917127534e-05,5
1.7501360048971978e-10,1.9037746558228582e-11,5.094693603898952e-12,1.1692515670837407e-11,1.6433842825057104e-05,5
2.5511970601434834e-10,3.289974181124651e-11,7.2813070739144e-12,1.507166096993353e-11,2.2665356222280176e-05,5
4.2819826746064183e-10,4.276690151337562e-11,9.513100951224311e-12,2.3984210150411603e-11,3.175091578848314e-05,5
3.298322486676307e-10,3.3663177914292265e-11,5.932383390267271e-12,1.6398580173107034e-11,2.845015777330309e-05,5
1.5912067071534267e-10,2.0086624760432913e-11,3.4636024725899674e-12,1.0406474895476794e-11,2.1684161690833158e-05,5
2.2889249552830518e-10,2.990379105511278e-11,5.511761549619234e-12,1.473706651313593e-11,2.1628032356680713e-05,5
3.6290069593894745e-10,4.5224986408628446e-11,1.1213803449330881e-11,2.530226766194993e-11,2.7949838296083333e-05,5
1.5543652255304492e-10,3.104943567156967e-11,6.396207205260949e-12,2.3590492386062675e-11,1.9401871566588157e-05,5
1.793369234134066e-10,2.6616148491724546e-11,6.7045010989044475e-12,1.743824617902036e-11,2.006033718540487e-05,5
2.958828247263767e-10,3.2601587834192876e-11,7.180913435395462e-12,1.4689101132304037e-11,2.360869684616052e-05,5
3.560755730136404e-10,3.199379777529177e-11,7.213123131533925e-12,1.777032477450574e-11,2.6710544275652844e-05,5
1.995532686238788e-10,2.0298258990931516e-11,4.713360953548494e-12,1.155855445335044e-11,2.1606404540471945e-05,5
1.2090104494283463e-10,2.1117269331459657e-11,4.8145174743722395e-12,8.793781652080656e-12,1.7113851676929502e-05,5
2.7690134715608513e-10,3.334833525433267e-11,5.692382483603159e-12,1.503210210710456e-11,2.319646372919659e-05,5
3.4383356287463484e-10,2.415334297701654e-11,5.146023750942691e-12,1.6893518987589837e-11,2.4339943888453975e-05,5
8.939791005957011e-11,1.1995908062866207e-11,3.42020057315708e-12,1.054813631371184e-11,1.3697418784409077e-05,5
1.8003197610504057e-10,2.5085399057846764e-11,5.177637801743728e-12,1.5722317879065912e-11,2.1366987546217787e-05,5
3.4215706196068194e-10,3.615446325972064e-11,7.541277065494441e-12,1.473618527477943e-11,2.7159167066350526e-05,5
1.7964192562154409e-10,2.925622227557629e-11,4.5494040292695984e-12,1.2806853066325482e-11,2.446491984086099e-05,5
5.0509889827966e-10,3.026246646757201e-11,7.995322623542083e-12,1.8990795115743238e-11,3.229857678067099e-05,5
3.4794179264569847e-10,3.82930032683605e-11,8.860218127438433e-12,2.0774579931248512e-11,3.046802423971735e-05,5
2.494515253429487e-10,4.128645027216271e-11,6.900767982673684e-12,1.6968153901342018e-11,2.3980300045704015e-05,5
4.5287382080071866e-10,4.348134945729754e-11,9.191429386437896e-12,2.2746952148910495e-11,2.911172573571885e-05,5
2.82383145220324e-10,3.5356300113043353e-11,8.022539851425821e-12,1.931125628552502e-11,2.8273536141579868e-05,5
2.928631078482174e-10,2.358631748348001e-11,6.566732452605402e-12,1.3584314797917286e-11,2.3727308990944327e-05,5
1.3191966750678755e-10,1.8264701200206055e-11,4.27831697538531e-12,8.812338680951573e-12,1.7067861528844532e-05,5
1.8108059480084445e-10,2.638239642012791e-11,6.639122731674055e-12,1.437501609889624e-11,2.0034543811142898e-05,5
